# stan_version_major = 2
# stan_version_minor = 22
# stan_version_patch = 1
# model = covid19_model_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = covid19_model.data.R
# init = covid19_model.init.R
# random
#   seed = -1 (Default)
# output
#   file = sampling.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma,alpha0,beta,I0
# Adaptation terminated
# Step size = 0.215957
# Diagonal elements of inverse mass matrix:
# 0.0706014, 0.00454586, 0.0470025, 0.0148182
-229.891,0.988611,0.215957,3,7,0,230.315,0.155546,0.258857,0.00320282,329.332
-229.977,0.98729,0.215957,4,15,0,230.422,0.13411,0.260518,0.00339356,328.673
-230.71,0.976795,0.215957,3,15,0,234.146,0.145554,0.260242,0.00379644,372.281
-230.767,0.983998,0.215957,4,15,0,233.929,0.191158,0.250295,0.00351322,323.937
-231.074,0.990246,0.215957,4,15,0,232.023,0.184998,0.250106,0.00279453,269.531
-230.076,0.965058,0.215957,4,23,0,232.059,0.12581,0.279174,0.00399472,374.695
-230.698,0.991027,0.215957,3,7,0,230.748,0.119978,0.272739,0.0042905,384.029
-231.772,0.85577,0.215957,4,15,0,233.01,0.182662,0.285494,0.00441454,297.159
-230.259,0.989095,0.215957,4,15,0,233.366,0.123716,0.273161,0.00329403,346.519
-229.726,0.96812,0.215957,3,7,0,230.972,0.127099,0.276924,0.00355811,334.522
-229.874,0.969196,0.215957,5,31,0,231.421,0.141904,0.280174,0.00418819,358.702
-230.275,0.996061,0.215957,4,23,0,230.626,0.16569,0.258728,0.00337665,282.462
-231.693,0.917722,0.215957,3,11,0,233.067,0.195586,0.248359,0.00265449,293.575
-231.489,0.992773,0.215957,4,15,0,232.523,0.143704,0.260795,0.0024758,310.768
-233.026,0.988287,0.215957,3,15,0,235.854,0.134486,0.240454,0.00226763,338.446
-234.373,0.979777,0.215957,4,15,0,237.624,0.273059,0.24947,0.00322018,242.848
-229.649,0.918704,0.215957,4,15,0,236.059,0.193234,0.264303,0.00409745,306.699
-230.25,0.991747,0.215957,4,15,0,230.897,0.118113,0.267008,0.00299002,331.79
-230.232,0.959706,0.215957,3,15,0,232.33,0.201348,0.258766,0.0036006,304.603
-229.334,0.995639,0.215957,3,7,0,230.395,0.169095,0.261593,0.00369396,305.635
-229.776,0.988331,0.215957,4,15,0,230.059,0.196199,0.266241,0.00418832,299.49
